"time","timeDate","close","high","low","open","volumefrom","volumeto"
1518892200000,"2018-02-17",10796.54,10806.39,10754.02,10754.04,368.71,3978742.34
1518892500000,"2018-02-17",10811.53,10817.22,10794.84,10796.54,340.04,3684537.56
1518892800000,"2018-02-17",10794.36,10814.95,10785.52,10811.54,185.43,2007962.74
1518893100000,"2018-02-17",10793.61,10802.96,10789.15,10795.68,110.95,1205334.76
1518893400000,"2018-02-17",10797.93,10801.49,10771.55,10790.18,174.52,1886536.28
1518893700000,"2018-02-17",10806.79,10808.87,10792.82,10797.93,119.04,1289520.08
1518894000000,"2018-02-17",10781.75,10816.08,10779.1,10806.79,315.84,3410550.9
1518894300000,"2018-02-17",10771.8,10792.47,10766.53,10781.82,194.34,2093219.26
1518894600000,"2018-02-17",10786.89,10799.83,10771.33,10771.8,426.03,4618923.85
1518894900000,"2018-02-17",10786.79,10790.1,10781.65,10786.89,128.17,1390971.29
1518895200000,"2018-02-17",10786.62,10792.27,10778.07,10786.79,322.49,3484016.33
1518895500000,"2018-02-17",10776.17,10787.44,10773.76,10786.62,202.14,2191386.91
1518895800000,"2018-02-17",10739.31,10776.27,10738.5,10776.27,298.73,3223423.56
1518896100000,"2018-02-17",10776.2,10776.2,10735.5,10739.31,239.14,2581053.05
1518896400000,"2018-02-17",10763.67,10784.7,10758.58,10776.2,304.66,3319589.34
1518896700000,"2018-02-17",10748.47,10762.5,10743.56,10762.5,259.72,2803259.89
1518897000000,"2018-02-17",10717.14,10748.88,10707.4,10748.88,339.38,3647525.02
1518897300000,"2018-02-17",10740,10741.34,10711.94,10716.42,301.8,3249725.83
1518897600000,"2018-02-17",10757.91,10758.6,10724.45,10740,263.97,2846827.56
1518897900000,"2018-02-17",10718.61,10761.21,10714.42,10757.91,212.48,2287340.15
1518898200000,"2018-02-17",10705.1,10718.42,10698.61,10718.42,281.68,3028409.37
1518898500000,"2018-02-17",10708.43,10726.42,10705.06,10705.1,193.47,2093106.5
1518898800000,"2018-02-17",10705.92,10716.85,10699.53,10708.43,167.8,1801654.7
1518899100000,"2018-02-17",10710.24,10714.44,10701.03,10706.14,195.56,2106150.09
1518899400000,"2018-02-17",10730.76,10744.15,10710.05,10710.24,244.56,2634930.92
1518899700000,"2018-02-17",10728.02,10734.37,10723.15,10730.76,118.56,1283035.99
1518900000000,"2018-02-17",10773.93,10790.12,10727.67,10728.02,411.25,4436532.39
1518900300000,"2018-02-17",10797.19,10809.67,10773.79,10773.79,491.74,5330997.53
1518900600000,"2018-02-17",10786.78,10801.07,10785.34,10797.19,272.34,2964134.27
1518900900000,"2018-02-17",10792.82,10798.16,10785.91,10789.49,100.26,1089485.14
1518901200000,"2018-02-17",10825.49,10828.16,10784.46,10792.84,331.23,3590602.85
1518901500000,"2018-02-17",10833.26,10834.9,10825.58,10825.58,194.09,2106763.94
1518901800000,"2018-02-17",10825.97,10833.68,10822.77,10833.26,136.34,1488955.96
1518902100000,"2018-02-17",10813.35,10827.18,10809.57,10825.97,234.66,2553801.12
1518902400000,"2018-02-17",10813.21,10822.59,10812.3,10813.34,115.26,1261409.27
1518902700000,"2018-02-17",10815.61,10819.02,10814.44,10814.85,87.49,953887.62
1518903000000,"2018-02-17",10833.21,10835.33,10814.83,10815.61,374.77,4067319.28
1518903300000,"2018-02-17",10849.78,10851.15,10831.93,10832.73,318.8,3467368.4
1518903600000,"2018-02-17",10853.26,10857.08,10846.86,10849.78,218.64,2383809.13
1518903900000,"2018-02-17",10845.22,10857.57,10844,10852.69,252.8,2749038.65
1518904200000,"2018-02-17",10856.08,10858.64,10840.42,10845.22,129.58,1419218.41
1518904500000,"2018-02-17",10846.72,10859.86,10846.72,10856.12,232.91,2540927.89
1518904800000,"2018-02-17",10828.62,10849.35,10816.99,10846.65,381.97,4152265.14
1518905100000,"2018-02-17",10821.78,10830.36,10820.73,10828.62,138.1,1502973.6
1518905400000,"2018-02-17",10811.52,10821.79,10795.8,10821.79,193.17,2100932.25
1518905700000,"2018-02-17",10791.74,10811.68,10791.32,10811.68,140.81,1528685.39
1518906000000,"2018-02-17",10812.44,10816.74,10788.37,10791.74,213.93,2313278.69
1518906300000,"2018-02-17",10816.5,10816.5,10793.88,10812.34,137.41,1491389.94
1518906600000,"2018-02-17",10855.18,10855.18,10815.44,10816.18,336.95,3660031.09
1518906900000,"2018-02-17",10902.19,10910.68,10855.09,10855.09,1512.05,16531037.02
1518907200000,"2018-02-17",10947.61,10948.79,10902.15,10905.96,1548.67,16953656.72
1518907500000,"2018-02-17",10966.96,10967.02,10945.77,10948.19,1101.55,12089067.95
1518907800000,"2018-02-17",10952.83,10968.54,10940.54,10966.96,514.16,5670843.18
1518908100000,"2018-02-17",10961.95,10972.11,10948.8,10952.79,432.55,4774463.72
1518908400000,"2018-02-17",10980.35,10980.37,10954.07,10961.09,598.48,6576414.89
1518908700000,"2018-02-17",11016.32,11016.32,10979.94,10980.35,1580.33,17443362.1
1518909000000,"2018-02-17",11068.31,11069.51,11015.89,11016.32,2186.79,24187513.56
1518909300000,"2018-02-17",11043.15,11071.05,11010.21,11068.31,990.12,10964229.11
1518909600000,"2018-02-17",11086.52,11119.45,11042.72,11043.15,1479.61,16418200.46
1518909900000,"2018-02-17",11083.19,11103.54,11064.12,11086.52,657.73,7295661.13
1518910200000,"2018-02-17",11091.05,11106.66,11079.68,11083.17,463.19,5151752.69
1518910500000,"2018-02-17",11084.73,11104.71,11080.47,11091.05,571.6,6355733.68
1518910800000,"2018-02-17",11042.51,11087.16,11042.07,11084.83,1180.52,13069380.18
1518911100000,"2018-02-17",11066.25,11075.05,11036.86,11043.1,637.1,7072956.58
1518911400000,"2018-02-17",11058.17,11064.83,11044.49,11064.83,278.73,3107290.51
1518911700000,"2018-02-17",11097.21,11097.21,11056.23,11058.17,629.77,6990324.37
1518912000000,"2018-02-17",11066.42,11103.16,11063.19,11097.21,515.17,5714359.3
1518912300000,"2018-02-17",11061.8,11076.69,11056.64,11068.25,338.22,3755021.4
1518912600000,"2018-02-17",11056.38,11066.78,11053.3,11061.8,353.66,3932985.43
1518912900000,"2018-02-17",11064.61,11065.06,11051.32,11055.77,322.04,3570984.49
1518913200000,"2018-02-17",11039.19,11073.82,11038.76,11066.7,449.83,5007552.3
1518913500000,"2018-02-17",11038.07,11039.6,11006.36,11039.19,649.28,7174225.61
1518913800000,"2018-02-17",11048.27,11053.67,11035.34,11038.07,300.57,3327007.66
1518914100000,"2018-02-17",11049.76,11053.99,11033.7,11047.6,309.03,3429507.69
1518914400000,"2018-02-17",11081.8,11081.8,11049.33,11050.2,456.74,5086506.26
